Distance_to_Outlet_m,Channel_Width
4769.761,2.51666339044756e-05
4829.758,2.51666339044756e-05
4889.755,2.51666339044756e-05
4949.752,2.87618673194007e-05
5009.749,2.87618673194007e-05
5069.746,2.51666339044756e-05
5129.743,2.51666339044756e-05
5189.74,2.69642506119381e-05
5249.737,2.69642506119381e-05
5309.734,3.05594840268632e-05
5369.731,2.51666339044756e-05
5429.728,2.69642506119381e-05
5489.725,3.23571007343258e-05
5549.722,3.59523341492508e-05
5609.719,3.59523341492508e-05
5669.716,3.59523341492508e-05
5729.713,3.41547174417883e-05
5789.71,3.59523341492508e-05
5849.707,3.41547174417883e-05
5909.704,3.77499508567134e-05
5969.701,3.77499508567134e-05
6029.698,3.59523341492508e-05
6089.695,3.41547174417883e-05
6149.692,3.77499508567134e-05
6209.688,4.3142800979101e-05
6269.686,4.85356511014886e-05
6329.683,4.13451842716385e-05
6389.68,4.85356511014886e-05
6449.677,4.49404176865636e-05
6509.674,4.67380343940261e-05
6569.671,4.13451842716385e-05
6629.667,4.49404176865636e-05
6689.665,4.85356511014886e-05
6749.662,4.49404176865636e-05
6809.659,4.67380343940261e-05
6869.656,4.49404176865636e-05
6929.653,4.3142800979101e-05
6989.649,4.85356511014886e-05
7049.646,4.67380343940261e-05
7109.644,4.67380343940261e-05
7169.641,4.49404176865636e-05
7229.638,4.49404176865636e-05
7289.635,4.85356511014886e-05
7349.632,4.13451842716385e-05
7409.628,3.95475675641759e-05
7469.625,3.77499508567134e-05
7529.623,3.77499508567134e-05
7589.62,3.59523341492508e-05
7649.617,3.77499508567134e-05
7709.613,3.05594840268632e-05
7769.61,2.87618673194007e-05
7829.607,2.3369017197013e-05
7889.604,3.05594840268632e-05
7949.602,2.87618673194007e-05
8009.599,2.69642506119381e-05
8069.596,2.69642506119381e-05
8129.592,2.87618673194007e-05
8189.589,2.69642506119381e-05
8249.586,2.69642506119381e-05
8309.584,2.51666339044756e-05
8369.58,2.87618673194007e-05
8429.578,3.05594840268632e-05
8489.574,2.69642506119381e-05
8549.572,2.69642506119381e-05
8609.568,2.3369017197013e-05
8669.565,2.87618673194007e-05
8729.562,1.9773783782088e-05
8789.559,1.79761670746254e-05
8849.557,1.79761670746254e-05
8909.553,1.61785503671629e-05
8969.551,1.79761670746254e-05
9029.547,1.9773783782088e-05
9089.545,1.61785503671629e-05
9149.541,2.15714004895505e-05
9209.539,1.61785503671629e-05
9269.535,1.9773783782088e-05
9329.533,1.79761670746254e-05
9389.529,1.61785503671629e-05
9449.525,1.79761670746254e-05
9509.523,1.9773783782088e-05
9569.52,1.9773783782088e-05
9629.518,1.9773783782088e-05
9689.514,1.9773783782088e-05
9749.512,1.79761670746254e-05
9809.508,1.9773783782088e-05
9869.506,1.9773783782088e-05
9929.502,1.79761670746254e-05
9989.5,1.79761670746254e-05
10049.5,1.9773783782088e-05
10109.49,1.61785503671629e-05
10169.49,1.61785503671629e-05
10229.49,1.9773783782088e-05
10289.48,1.79761670746254e-05
10349.48,1.9773783782088e-05
10409.48,1.79761670746254e-05
